time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,dot_phi,dot_theta,dot_psi
0.01,0.9351478219032288,0.12051506340503693,0.8711550831794739,0.058443880986791534,-0.05851726987913687,0.08393748839018142,0.006550824801331145,0.008197141598322428,-0.006454762036102753,0.7140649557113647,0.10308562219142914,0.009241040796041477,0.7141462414826872,0.10302287432066817,0.009916466692960771
0.02,0.9351478219032288,0.12051506340503693,0.8711550831794739,0.058443880986791534,-0.05851726987913687,0.08393748839018142,0.006550824801331145,0.008197141598322428,-0.006454762036102753,0.7140649557113647,0.10308562219142914,0.009241040796041477,0.7141462414826872,0.10302287432066817,0.009916466692960771
0.03,0.9351478219032288,0.12051506340503693,0.8711550831794739,0.058443880986791534,-0.05851726987913687,0.08393748839018142,0.006550824801331145,0.008197141598322428,-0.006454762036102753,0.7140649557113647,0.10308562219142914,0.009241040796041477,0.7141462414826872,0.10302287432066817,0.009916466692960771
0.04,0.9351478219032288,0.12051506340503693,0.8711550831794739,0.058443880986791534,-0.05851726987913687,0.08393748839018142,0.006550824801331145,0.008197141598322428,-0.006454762036102753,0.7140649557113647,0.10308562219142914,0.009241040796041477,0.7141462414826872,0.10302287432066817,0.009916466692960771
0.05,0.9375408887863159,0.11693298816680908,0.8758675456047058,0.019452813719479604,0.006123309193491073,0.09270518818783895,0.008457850637110229,0.006805882485735093,-0.007020312560625763,-0.17898188531398773,-0.11858128756284714,-0.015525059774517999,-0.1790943708335154,-0.11844573914667428,-0.016527818127481227
0.060000000000000005,0.9383645057678223,0.11575321853160858,0.8772373795509338,0.0347197107556021,-0.026675586278169423,0.06380236648809956,0.008457850637110229,0.006805882485735093,-0.007020312560625763,-0.17898188531398773,-0.11858128756284714,-0.015525059774517999,-0.1790943708335154,-0.11844573914667428,-0.016527818127481227
0.07,0.9390527606010437,0.11479683965444565,0.8786163330078125,0.05561964496147885,-0.04962894391547981,0.06825446733587534,0.007712954504511844,0.005510919562020433,-0.007076117981811887,0.6900549530982971,0.13873299956321716,0.037596449255943284,0.6902680369534142,0.13843889616617036,0.03866594881137594
0.08,0.9390527606010437,0.11479683965444565,0.8786163330078125,0.05561964496147885,-0.04962894391547981,0.06825446733587534,0.007712954504511844,0.005510919562020433,-0.007076117981811887,0.6900549530982971,0.13873299956321716,0.037596449255943284,0.6902680369534142,0.13843889616617036,0.03866594881137594
0.09,0.9390527606010437,0.11479683965444565,0.8786163330078125,0.05561964496147885,-0.04962894391547981,0.06825446733587534,0.007712954504511844,0.005510919562020433,-0.007076117981811887,0.6900549530982971,0.13873299956321716,0.037596449255943284,0.6902680369534142,0.13843889616617036,0.03866594881137594
0.09999999999999999,0.9390527606010437,0.11479683965444565,0.8786163330078125,0.05561964496147885,-0.04962894391547981,0.06825446733587534,0.007712954504511844,0.005510919562020433,-0.007076117981811887,0.6900549530982971,0.13873299956321716,0.037596449255943284,0.6902680369534142,0.13843889616617036,0.03866594881137594
0.10999999999999999,0.9414461851119995,0.11159208416938782,0.8819586038589478,0.017132461402541266,0.012324010905195368,0.03331927673475238,0.008144480242222977,0.004477756430640953,-0.007204564029287766,0.8582412600517273,0.17010608315467834,0.024877665564417818,0.8583588568000199,0.16989782798434858,0.026262514071529318
0.11999999999999998,0.9422823190689087,0.11043497920036316,0.8826135993003845,0.03700479270078389,-0.0291643355862791,-0.008528529722896526,0.008144480242222977,0.004477756430640953,-0.007204564029287766,0.8582412600517273,0.17010608315467834,0.024877665564417818,0.8583588568000199,0.16989782798434858,0.026262514071529318
0.12999999999999998,0.9429329633712769,0.10962335765361786,0.8832303285598755,0.029707683284812658,-0.007991048628144152,0.005300644144587603,0.011209466406210181,0.004480267124325954,-0.007111422265301719,-0.5745419263839722,-0.1967245191335678,-0.019381491467356658,-0.5746386354093056,-0.19649490820710694,-0.021585621166621844
0.13999999999999999,0.9429329633712769,0.10962335765361786,0.8832303285598755,0.029707683284812658,-0.007991048628144152,0.005300644144587603,0.011209466406210181,0.004480267124325954,-0.007111422265301719,-0.5745419263839722,-0.1967245191335678,-0.019381491467356658,-0.5746386354093056,-0.19649490820710694,-0.021585621166621844
0.15,0.9429329633712769,0.10962335765361786,0.8832303285598755,0.029707683284812658,-0.007991048628144152,0.005300644144587603,0.011209466406210181,0.004480267124325954,-0.007111422265301719,-0.5745419263839722,-0.1967245191335678,-0.019381491467356658,-0.5746386354093056,-0.19649490820710694,-0.021585621166621844
0.16,0.9429329633712769,0.10962335765361786,0.8832303285598755,0.029707683284812658,-0.007991048628144152,0.005300644144587603,0.011209466406210181,0.004480267124325954,-0.007111422265301719,-0.5745419263839722,-0.1967245191335678,-0.019381491467356658,-0.5746386354093056,-0.19649490820710694,-0.021585621166621844
0.17,0.945104718208313,0.10696303099393845,0.8839033842086792,0.007823344377483684,0.032289973583871985,-0.028990244172963486,0.0114983338529378,0.002888403244296213,-0.00738933223699686,-0.10030633211135864,-0.0008465829887427415,-0.02033088728785515,-0.10036508030953954,-0.0006127608468996375,-0.02033936223591081
0.18000000000000002,0.9464173913002014,0.10536018013954163,0.8837924599647522,0.016742813330006438,0.009068182037237003,-0.05300762187554457,0.01278352440845314,0.002646266969301129,-0.007286968565830775,0.5097830295562744,0.026768010109663013,0.024843325838446614,0.5098496719128817,0.026448246333038678,0.025183564304062492
