time,ref_x,ref_y,ref_z,ref_vx,ref_vy,ref_vz,ref_phi,ref_theta,ref_psi
0.01,1.5,0.0,1.0,0.0,0.0,0.0,0.014737960194918152,0.01423845734081216,0.0
0.02,1.5,0.0,1.0,0.0,0.0,0.0,0.0005792145954220459,0.001886137228971408,0.0
0.03,1.5,0.0,1.0,0.0,0.0,0.0,0.0011154322209752814,0.0007048753906723395,0.0
0.04,1.5,0.0,1.0,0.0,0.0,0.0,0.0016423372019498076,-0.00041994369498181693,0.0
0.05,1.5,0.0,1.0,0.0,0.0,0.0,0.002159919991246535,-0.0014920766820015496,0.0
0.060000000000000005,1.5,0.0,1.0,0.0,0.0,0.0,0.02909875052562608,0.011511330299541076,0.0
0.07,1.5,0.0,1.0,0.0,0.0,0.0,0.014133134999763286,0.004518560087595105,0.0
0.08,1.5,0.0,1.0,0.0,0.0,0.0,0.005514707181070512,-0.003535237362174072,0.0
0.09,1.5,0.0,1.0,0.0,0.0,0.0,0.005985278344425086,-0.00442827444468251,0.0
0.09999999999999999,1.5,0.0,1.0,0.0,0.0,0.0,0.006446287990332271,-0.005283521763419913,0.0
0.10999999999999999,1.5,0.0,1.0,0.0,0.0,0.0,0.006897619034639423,-0.006103333801110326,0.0
0.11999999999999998,1.5,0.0,1.0,0.0,0.0,0.0,0.03257778403303477,0.007073620885336553,0.0
0.12999999999999998,1.5,0.0,1.0,0.0,0.0,0.0,0.014040714675135657,-0.0012745847842704878,0.0
0.13999999999999999,1.5,0.0,1.0,0.0,0.0,0.0,0.023145814362580095,0.0006984116847187485,0.0
0.15,1.5,0.0,1.0,0.0,0.0,0.0,0.02354547269975207,2.3241772407592063e-05,0.0
0.16,1.5,0.0,1.0,0.0,0.0,0.0,0.023933969303078857,-0.0006264394797173198,0.0
0.17,1.5,0.0,1.0,0.0,0.0,0.0,0.02431093117628946,-0.001251990765478424,0.0
0.18000000000000002,1.5,0.0,1.0,0.0,0.0,0.0,0.04214125478383464,0.0067435254040779605,0.0
0.19000000000000003,1.5,0.0,1.0,0.0,0.0,0.0,0.030624763026117555,0.0025097787796791353,0.0
0.20000000000000004,1.5,0.0,1.0,0.0,0.0,0.0,0.030937902323376586,0.001964611996969301,0.0
0.21000000000000005,1.5,0.0,1.0,0.0,0.0,0.0,0.031235414746337214,0.001438852687746667,0.0
0.22000000000000006,1.5,0.0,1.0,0.0,0.0,0.0,0.031515424921732565,0.0009317178853981862,0.0
0.23000000000000007,1.5,0.0,1.0,0.0,0.0,0.0,0.03177505421354367,0.0004425206992707434,0.0
0.24000000000000007,1.5,0.0,1.0,0.0,0.0,0.0,0.02447667178140547,-0.00281308771799314,0.0
0.25000000000000006,1.5,0.0,1.0,0.0,0.0,0.0,0.024352203714765985,-0.0032636835510313667,0.0
0.26000000000000006,1.5,0.0,1.0,0.0,0.0,0.0,0.03511534717379468,0.0012113507466883567,0.0
0.2700000000000001,1.5,0.0,1.0,0.0,0.0,0.0,0.03495220143992707,0.0007922430758802256,0.0
0.2800000000000001,1.5,0.0,1.0,0.0,0.0,0.0,0.03477885809336056,0.0003891369364039866,0.0
0.2900000000000001,1.5,0.0,1.0,0.0,0.0,0.0,0.03459725601954057,2.0341861307238903e-06,0.0
0.3000000000000001,1.5,0.0,1.0,0.0,0.0,0.0,0.018344152917643082,-0.005182504557599732,0.0
0.3100000000000001,1.5,0.0,1.0,0.0,0.0,0.0,0.020511157482374028,-0.005014508014609638,0.0
0.3200000000000001,1.5,0.0,1.0,0.0,0.0,0.0,0.030825915376321636,0.0039435473292285346,0.0
0.3300000000000001,1.5,0.0,1.0,0.0,0.0,0.0,0.030593452588720232,0.0036247225593809464,0.0
0.34000000000000014,1.5,0.0,1.0,0.0,0.0,0.0,0.03034590947195683,0.003322815586142718,0.0
0.35000000000000014,1.5,0.0,1.0,0.0,0.0,0.0,0.03009676129291937,0.00304119063584053,0.0
0.36000000000000015,1.5,0.0,1.0,0.0,0.0,0.0,0.029847330046504805,0.0027825377957886475,0.0
0.37000000000000016,1.5,0.0,1.0,0.0,0.0,0.0,0.021519799817896267,0.0005937014562029707,0.0
0.38000000000000017,1.5,0.0,1.0,0.0,0.0,0.0,0.02818995700652766,0.006316228907732044,0.0
0.3900000000000002,1.5,0.0,1.0,0.0,0.0,0.0,0.0279267293480142,0.006163947008640028,0.0
0.4000000000000002,1.5,0.0,1.0,0.0,0.0,0.0,0.02766442902336843,0.0063534427671831355,0.0
0.4100000000000002,1.5,0.0,1.0,0.0,0.0,0.0,0.02740479460523762,0.006602318052007043,0.0
0.4200000000000002,1.5,0.0,1.0,0.0,0.0,0.0,0.022056778266852376,0.007284151407983253,0.0
0.4300000000000002,1.5,0.0,1.0,0.0,0.0,0.0,0.02179484457063936,0.007575906196241979,0.0
0.4400000000000002,1.5,0.0,1.0,0.0,0.0,0.0,0.022578818108814475,0.009832465864450298,0.0
0.45000000000000023,1.5,0.0,1.0,0.0,0.0,0.0,0.022322840290698417,0.010149105147704259,0.0
0.46000000000000024,1.5,0.0,1.0,0.0,0.0,0.0,0.022071504074751634,0.010476507726880392,0.0
0.47000000000000025,1.5,0.0,1.0,0.0,0.0,0.0,0.02182504372437187,0.010813048965685534,0.0
0.48000000000000026,1.5,0.0,1.0,0.0,0.0,0.0,0.01901291703622143,0.010240421796291638,0.0
0.49000000000000027,1.5,0.0,1.0,0.0,0.0,0.0,0.004294709417668163,0.0032680613350595266,0.0
